"filename","folder","source__sourceImage","source__sourceAnnotation","object__name","object__deleted","object__verified","object__occluded","object__attributes","object__parts__hasparts","object__parts__ispartof","object__date","object__id","object__polygon__username","object__polygon__pt__x","object__polygon__pt__y","imagesize__nrows","imagesize__ncols"
"","","","","forest","1","0","","green, trees, animals, branches","","","25-Jul-2019 10:09:16","31","A2HC04434S9TP0","2","473","",""
"","","","","","","","","","","","","","","42","461","",""
"","","","","","","","","","","","","","","73","458","",""
"","","","","","","","","","","","","","","138","444","",""
"","","","","","","","","","","","","","","181","433","",""
"","","","","","","","","","","","","","","229","421","",""
"","","","","","","","","","","","","","","252","419","",""
"","","","","","","","","","","","","","","225","331","",""
"","","","","","","","","","","","","","","252","294","",""
"","","","","","","","","","","","","","","250","285","",""
"","","","","","","","","","","","","","","196","290","",""
"","","","","","","","","","","","","","","194","279","",""
"","","","","","","","","","","","","","","190","258","",""
"","","","","","","","","","","","","","","146","244","",""
"","","","","","","","","","","","","","","131","223","",""
"","","","","","","","","","","","","","","96","235","",""
"","","","","","","","","","","","","","","88","200","",""
"","","","","","","","","","","","","","","58","219","",""
"","","","","","","","","","","","","","","35","238","",""
"","","","","","","","","","","","","","","19","256","",""
"","","","","","","","","","","","","","","2","271","",""
"","","","","forest","0","0","","green, trees, animals, branches","","","25-Jul-2019 10:10:05","32","A2HC04434S9TP0","2","217","",""
"","","","","","","","","","","","","","","50","215","",""
"","","","","","","","","","","","","","","73","217","",""
"","","","","","","","","","","","","","","96","225","",""
"","","","","","","","","","","","","","","113","238","",""
"","","","","","","","","","","","","","","127","238","",""
"","","","","","","","","","","","","","","142","231","",""
"","","","","","","","","","","","","","","154","240","",""
"","","","","","","","","","","","","","","179","256","",""
"","","","","","","","","","","","","","","196","288","",""
"","","","","","","","","","","","","","","213","300","",""
"","","","","","","","","","","","","","","229","292","",""
"","","","","","","","","","","","","","","246","342","",""
"","","","","","","","","","","","","","","248","383","",""
"","","","","","","","","","","","","","","252","440","",""
"","","","","","","","","","","","","","","227","440","",""
"","","","","","","","","","","","","","","165","427","",""
"","","","","","","","","","","","","","","98","427","",""
"","","","","","","","","","","","","","","83","446","",""
"","","","","","","","","","","","","","","71","446","",""
"","","","","","","","","","","","","","","15","463","",""
"","","","","","","","","","","","","","","0","467","",""
"","","","","mona lisa","0","0","","female, outline, clear, realistic, dark","","","25-Jul-2019 11:08:22","33","ZCgDVlkp5","624","546","",""
"","","","","","","","","","","","","","","579","486","",""
"","","","","","","","","","","","","","","565","456","",""
"","","","","","","","","","","","","","","549","393","",""
"","","","","","","","","","","","","","","551","327","",""
"","","","","","","","","","","","","","","529","202","",""
"","","","","","","","","","","","","","","479","133","",""
"","","","","","","","","","","","","","","417","105","",""
"","","","","","","","","","","","","","","345","114","",""
"","","","","","","","","","","","","","","300","160","",""
"","","","","","","","","","","","","","","267","234","",""
"","","","","","","","","","","","","","","262","279","",""
"","","","","","","","","","","","","","","255","422","",""
"","","","","","","","","","","","","","","258","481","",""
"","","","","","","","","","","","","","","253","544","",""
"","","","","","","","","","","","","","","191","594","",""
"","","","","","","","","","","","","","","152","646","",""
"","","","","","","","","","","","","","","143","708","",""
"","","","","","","","","","","","","","","114","756","",""
"","","","","","","","","","","","","","","79","791","",""
"","","","","","","","","","","","","","","50","829","",""
"","","","","","","","","","","","","","","16","887","",""
"","","","","","","","","","","","","","","7","953","",""
"","","","","","","","","","","","","","","3","1035","",""
"","","","","","","","","","","","","","","5","1089","",""
"","","","","","","","","","","","","","","2","1151","",""
"","","","","","","","","","","","","","","3","1189","",""
"","","","","","","","","","","","","","","767","1190","",""
"","","","","","","","","","","","","","","779","1097","",""
"","","","","","","","","","","","","","","760","1044","",""
"","","","","","","","","","","","","","","754","970","",""
"","","","","","","","","","","","","","","758","823","",""
"","","","","","","","","","","","","","","737","703","",""
"","","","","","","","","","","","","","","699","622","",""
"","","","","eye","0","0","","female, eye, brown, clear, realistic","","","25-Jul-2019 11:09:03","34","ZCgDVlkp5","446","272","",""
"","","","","","","","","","","","","","","408","257","",""
"","","","","","","","","","","","","","","381","269","",""
"","","","","","","","","","","","","","","379","281","",""
"","","","","","","","","","","","","","","422","286","",""
